symbol,kite_tradingsymbol,kite_instrument_token,breeze_stock_code,closing_price,avg_volume_per_minute,price_date,has_both_codes,kite_name
GRSE,GRSE,1401601,GARREA,2505.1,3465.83,2026-02-10,True,GARDEN REACH SHIP&ENG
ACUTAAS,ACUTAAS,1427969,AMIORG,2044.6,2616.0,2026-02-10,True,ACUTAAS CHEMICALS
J&KBANK,J&KBANK,1442049,JAMKAS,105.37,4083.61,2026-02-10,True,J & K BANK
CUB,CUB,1459457,CITUNI,286.75,2121.3,2026-02-10,True,CITY UNION BANK
SANSERA,SANSERA,1472257,SANEN,2032,3796.79,2026-02-10,True,SANSERA ENGINEERING
AXISBANK,AXISBANK,1510401,AXIBAN,1355.1,13627.02,2026-02-10,True,AXIS BANK
NATIONALUM,NATIONALUM,1629185,NATALU,368.1,21383.76,2026-02-10,True,NATIONAL ALUMINIUM CO
NYKAA,NYKAA,1675521,FSNECO,281.1,37551.34,2026-02-10,True,FSN E COMMERCE VENTURES
POLICYBZR,POLICYBZR,1703937,PBFINT,1514,13964.69,2026-02-10,True,PB FINTECH
PAYTM,PAYTM,1716481,ONE97,1160,11082.03,2026-02-10,True,ONE 97 COMMUNICATIONS
SAPPHIRE,SAPPHIRE,1719809,SAPFOO,225.7,3619.55,2026-02-10,True,SAPPHIRE FOODS INDIA
JINDALSTEL,JINDALSTEL,1723649,JINSP,1190,1784.73,2026-02-10,True,JINDAL STEEL
GANECOS,GANECOS,1777665,GANECO,845,1615.05,2026-02-10,True,GANESHA ECOSPHERE
BSOFT,BSOFT,1790465,KPITEC,467,10557.36,2026-02-10,True,BIRLASOFT
HCLTECH,HCLTECH,1850625,HCLTEC,1569,8429.83,2026-02-10,True,HCL TECHNOLOGIES
DATAPATTNS,DATAPATTNS,1883649,DATPAT,2831,1845.17,2026-02-10,True,DATA PATTERNS INDIA
WOCKPHARMA,WOCKPHARMA,1921537,WOCKHA,1425.8,5594.16,2026-02-10,True,WOCKHARDT
NRBBEARING,NRBBEARING,1933569,NRBBEA,288.1,2627.57,2026-02-10,True,NRB BEARING
INOXWIND,INOXWIND,2010113,INOWIN,110.85,17249.15,2026-02-10,True,INOX WIND
MHLXMIRU,MHLXMIRU,2018817,MAHRUB,196.7,2406.72,2026-02-10,True,MAHALAXMI RUBTECH
ZYDUSLIFE,ZYDUSLIFE,2029825,CADHEA,887,5867.32,2026-02-10,True,ZYDUS LIFESCIENCES
AVANTIFEED,AVANTIFEED,2031617,AVAFEE,1125,6679.8,2026-02-10,True,AVANTI FEEDS
KTKBANK,KTKBANK,2061825,KARBAN,207,6425.25,2026-02-10,True,KARNATAKA BANK
AWL,AWL,2076161,ADAWIL,209.85,3375.48,2026-02-10,True,AWL AGRI BUSINESS
BLUESTARCO,BLUESTARCO,2127617,BLUSTA,1955,1881.57,2026-02-10,True,BLUE STAR
TVSMOTOR,TVSMOTOR,2170625,TVSMOT,3756.6,2149.68,2026-02-10,True,TVS MOTOR COMPANY 
GMRP&UI,GMRP&UI,2183425,GMRPOW,104.6,2005.43,2026-02-10,True,GMR POW AND URBAN INFRA L
NLCINDIA,NLCINDIA,2197761,NEYLIG,257.4,3039.25,2026-02-10,True,NLC INDIA
GAEL,GAEL,2259969,GUJAE,135.5,1551.2,2026-02-10,True,GUJARAT AMBUJA EXPORTS LT
CHOICEIN,CHOICEIN,2269697,CHOINT,779,3453.42,2026-02-10,True,CHOICE INTERNATIONAL
STLTECH,STLTECH,2383105,STETEC,157.02,130867.22,2026-02-10,True,STERLITE TECHNOLOGIES
CAMPUS,CAMPUS,2396673,CAMACT,282.5,4800.58,2026-02-10,True,CAMPUS ACTIVEWEAR
PNCINFRA,PNCINFRA,2402561,PNCINF,232,1410.07,2026-02-10,True,PNC INFRATECH
LICI,LICI,2426881,LIC,891.9,2927.12,2026-02-10,True,LIFE INSURA CORP OF INDIA
RVNL,RVNL,2445313,RAIVIK,319.6,24887.59,2026-02-10,True,RAIL VIKAS NIGAM
DELHIVERY,DELHIVERY,2457345,DELLIM,434.05,14046.51,2026-02-10,True,DELHIVERY
HIKAL,HIKAL,2475009,HIKCHE,189.15,2088.31,2026-02-10,True,HIKAL
KPITTECH,KPITTECH,2478849,KPITE,973,2702.69,2026-02-10,True,KPIT TECHNOLOGIES
PARADEEP,PARADEEP,2493697,PARPHO,126,15086.75,2026-02-10,True,PARADEEP PHOSPHATES
GODREJCP,GODREJCP,2585345,GODCON,1200.6,1521.25,2026-02-10,True,GODREJ CONSUMER PRODUCTS
ADANIENSOL,ADANIENSOL,2615553,ADATRA,1014,2673.58,2026-02-10,True,ADANI ENERGY SOLUTION
SYNGENE,SYNGENE,2622209,SYNINT,454.1,3205.23,2026-02-10,True,SYNGENE INTERNATIONAL
LUPIN,LUPIN,2672641,LUPIN,2205,1824.1,2026-02-10,True,LUPIN
MARKSANS,MARKSANS,2708225,MARPHA,186.99,1989.8,2026-02-10,True,MARKSANS PHARMA
BHARTIARTL,BHARTIARTL,2714625,BHAAIR,2009,17734.18,2026-02-10,True,BHARTI AIRTEL
PNB,PNB,2730497,PUNBAN,122.92,31921.83,2026-02-10,True,PUNJAB NATIONAL BANK
UNIONBANK,UNIONBANK,2752769,UNIBAN,179.04,21844.65,2026-02-10,True,UNION BANK OF INDIA
SYRMA,SYRMA,2763009,SYRTEC,876.15,2136.34,2026-02-10,True,SYRMA SGS TECHNOLOGY
CANBK,CANBK,2763265,CANBAN,146.85,48185.72,2026-02-10,True,CANARA BANK
GRMOVER,GRMOVER,2782977,GRMOVE,161.3,4476.56,2026-02-10,True,GRM OVERSEAS
GENESYS,GENESYS,2791681,GENINT,342.8,1735.8,2026-02-10,True,GENESYS INTL CORPN
TMB,TMB,2801921,TAMMER,703,2021.65,2026-02-10,True,TAMILNAD MERCA BANK
INFOBEAN,INFOBEAN,2822913,INFOTE,908.7,5845.21,2026-02-10,True,INFOBEANS TECHNO.
