Timestamp: 2026-02-01 11:37:22
symbol,kite_token,breeze_code,priority,rsi,timestamp
BAJAJFINSV,4268801,BAFINS,5,23.89,2026-02-01 10:48:00
CUPID,4741121,CUPRUB,5,22.96,2026-02-01 10:48:00
KALAMANDIR,4801281,SAISIK,5,21.99,2026-02-01 10:48:00
MUFIN,5064449,APMFIN,5,16.87,2026-02-01 10:48:00
FEDFINA,5202433,FEDFIN,5,11.01,2026-02-01 10:48:00
AADHARHFC,6074625,AADHOS,5,20.42,2026-02-01 10:48:00
TRITURBINE,6549505,TRITUR,5,20.69,2026-02-01 10:48:00
SAMMAANCAP,7712001,INDHO,5,23.04,2026-02-01 10:48:00
URBANCO,194325505,URBCOM,5,13.92,2026-02-01 10:48:00
GEMAROMA,194422017,GEMARO,5,18.11,2026-02-01 10:48:00
PINELABS,194513921,PINLAB,5,17.94,2026-02-01 10:48:00
CSSL,194596609,CLESER,5,7.68,2026-02-01 10:48:00
LGEINDIA,194614529,LGELEC,5,20.07,2026-02-01 10:48:00
ICICIAMC,194664193,ICIAMC,5,20.87,2026-02-01 10:48:00
SHADOWFAX,194936065,SHATEC,5,16.07,2026-02-01 10:48:00

Timestamp: 2026-02-01 10:46:36
symbol,kite_token,breeze_code,priority,rsi,timestamp
AARTIIND,1793,AARIND,5,23.32,2026-02-01 10:45:00
ADANIENT,6401,ADAENT,5,24.83,2026-02-01 10:45:00
GRAPHITE,151553,CAREVE,5,19.90,2026-02-01 10:45:00
GRASIM,315393,GRASIM,5,18.96,2026-02-01 10:45:00
INFY,408065,INFTEC,5,23.74,2026-02-01 10:45:00
IOC,415745,INDOIL,5,22.17,2026-02-01 10:45:00
RAMCOCEM,523009,RAMCEM,5,13.84,2026-02-01 10:45:00
MFSL,548353,MAXFIN,5,24.75,2026-02-01 10:45:00
MRPL,584449,MRPL,5,24.76,2026-02-01 10:45:00
NAZARA,764673,NAZTEC,5,22.61,2026-02-01 10:45:00
CUBEXTUB,1040385,CUBTUB,5,23.00,2026-02-01 10:45:00
CREDITACC,1131777,CREGRA,5,13.87,2026-02-01 10:45:00
GRSE,1401601,GARREA,5,13.62,2026-02-01 10:45:00
STAR,1887745,STRSHA,5,23.42,2026-02-01 10:45:00
ZENTEC,1922049,ZENTEC,5,17.77,2026-02-01 10:45:00
GAEL,2259969,GUJAE,5,22.91,2026-02-01 10:45:00
UNITDSPR,2674433,UNISPI,5,23.06,2026-02-01 10:45:00
GUJGASLTD,2713345,GUJGA,5,18.49,2026-02-01 10:45:00
RADICO,2813441,RADKHA,5,11.28,2026-02-01 10:45:00
JSL,2876417,JINSTA,5,20.94,2026-02-01 10:45:00
IGL,2883073,INDGAS,5,13.16,2026-02-01 10:45:00
GRANULES,3039233,GRANUL,5,24.22,2026-02-01 10:45:00
ANANTRAJ,3486721,ANARAJ,5,23.01,2026-02-01 10:45:00
DCBBANK,3513601,DCB,5,22.35,2026-02-01 10:45:00
HUBTOWN,3635969,HUBLIM,5,23.17,2026-02-01 10:45:00
BAJAJELEC,3848705,BAJELE,5,22.84,2026-02-01 10:45:00
BRIGADE,3887105,BRIENT,5,24.22,2026-02-01 10:45:00
VGUARD,3932673,VGUARD,5,15.38,2026-02-01 10:45:00
BAJAJFINSV,4268801,BAFINS,5,19.08,2026-02-01 10:45:00
CUPID,4741121,CUPRUB,5,22.95,2026-02-01 10:45:00
KALAMANDIR,4801281,SAISIK,5,20.92,2026-02-01 10:45:00
MUFIN,5064449,APMFIN,5,17.38,2026-02-01 10:45:00
FEDFINA,5202433,FEDFIN,5,10.92,2026-02-01 10:45:00
CGCL,5204225,CAPGLO,5,21.98,2026-02-01 10:45:00
SBILIFE,5582849,SBILIF,5,24.40,2026-02-01 10:45:00
AADHARHFC,6074625,AADHOS,5,19.86,2026-02-01 10:45:00
TRITURBINE,6549505,TRITUR,5,19.50,2026-02-01 10:45:00
SAMMAANCAP,7712001,INDHO,5,21.71,2026-02-01 10:45:00
URBANCO,194325505,URBCOM,5,10.50,2026-02-01 10:45:00
GEMAROMA,194422017,GEMARO,5,18.42,2026-02-01 10:45:00
PINELABS,194513921,PINLAB,5,19.92,2026-02-01 10:45:00
CSSL,194596609,CLESER,5,7.68,2026-02-01 10:39:00
LGEINDIA,194614529,LGELEC,5,20.50,2026-02-01 10:45:00
ICICIAMC,194664193,ICIAMC,5,20.47,2026-02-01 10:45:00
SHADOWFAX,194936065,SHATEC,5,14.40,2026-02-01 10:45:00

Timestamp: 2026-02-01 10:43:00
symbol,kite_token,breeze_code,priority,rsi,timestamp
AARTIIND,1793,AARIND,5,23.43,2026-02-01 10:42:00
ADANIENT,6401,ADAENT,5,24.85,2026-02-01 10:42:00
NAM-INDIA,91393,RELNIP,5,24.64,2026-02-01 10:42:00
GRAPHITE,151553,CAREVE,5,18.90,2026-02-01 10:42:00
GRASIM,315393,GRASIM,5,18.74,2026-02-01 10:42:00
AMBUJACEM,325121,AMBCE,5,23.25,2026-02-01 10:42:00
INFY,408065,INFTEC,5,23.74,2026-02-01 10:42:00
IOC,415745,INDOIL,5,22.70,2026-02-01 10:42:00
RAMCOCEM,523009,RAMCEM,5,14.72,2026-02-01 10:42:00
MFSL,548353,MAXFIN,5,24.42,2026-02-01 10:42:00
NAZARA,764673,NAZTEC,5,23.34,2026-02-01 10:42:00
CUBEXTUB,1040385,CUBTUB,5,22.02,2026-02-01 10:42:00
CREDITACC,1131777,CREGRA,5,14.16,2026-02-01 10:42:00
